Timestamp,EventTitle,MarketQuestion,TokenID_YES,TokenID_NO,Price_YES,Price_NO,Keputusan,Alasan,Volume
2026-07-28T07:45:00.000Z,"Bitcoin Up or Down (5-Min Window)","Will Bitcoin (BTC) be Up or Down in the 5-minute window [14:45 - 14:50 UTC]?","0xbtc5m01a","0xbtc5m01b","0.54","0.46","BUY_YES","Indikator momentum 5-menit RSI mengalami bullish crossover pada level 42 dengan order book dominan di sisi bid.","1420000"
2026-07-28T07:40:00.000Z,"Bitcoin Up or Down (5-Min Window)","Will Bitcoin (BTC) be Up or Down in the 5-minute window [14:40 - 14:45 UTC]?","0xbtc5m02a","0xbtc5m02b","0.48","0.52","BUY_NO","Tekanan jual singkat terjadi di level resistance $98.600 dengan struktur candle 5m mengkonfirmasi rejection.","1890000"
2026-07-28T07:35:00.000Z,"Bitcoin Up or Down (5-Min Window)","Will Bitcoin (BTC) be Up or Down in the 5-minute window [14:35 - 14:40 UTC]?","0xbtc5m03a","0xbtc5m03b","0.58","0.42","BUY_YES","Lonjakan volume pembeli institusi 5m mendorong breakout di atas Moving Average 20 periode.","2150000"
2026-07-28T07:30:00.000Z,"Bitcoin Up or Down (5-Min Window)","Will Bitcoin (BTC) be Up or Down in the 5-minute window [14:30 - 14:35 UTC]?","0xbtc5m04a","0xbtc5m04b","0.51","0.49","HOLD","Pergerakan harga BTC 5m konsolidasi datar di area equilibrium tanpa konfirmasi tren dominan.","980000"
2026-07-28T07:25:00.000Z,"Bitcoin Up or Down (5-Min Window)","Will Bitcoin (BTC) be Up or Down in the 5-minute window [14:25 - 14:30 UTC]?","0xbtc5m05a","0xbtc5m05b","0.62","0.38","BUY_YES","Sentimen pasar positif pasca lonjakan pasokan stablecoin dengan momentum kenaikan beruntun 5-menit.","2750000"
2026-07-28T07:20:00.000Z,"Bitcoin Up or Down (5-Min Window)","Will Bitcoin (BTC) be Up or Down in the 5-minute window [14:20 - 14:25 UTC]?","0xbtc5m06a","0xbtc5m06b","0.41","0.59","BUY_NO","Terjadi koreksi teknikal 5-menit pasca pengujian level psikologis resistance tanpa didukung volume yang memadai.","1640000"
2026-07-28T10:11:48.467562+00:00,Kraken IPO by ___ ?,Kraken IPO in 2025?,106229668102716149832209250222340847662201251266419359322746795373714233470739,33007765079325382103458898680383691503895532108499178620460955049586020382226,0,1,HOLD,Pergerakan harga BTC 1m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,494516.53254
2026-07-28T10:12:56.483608+00:00,Kraken IPO by ___ ?,Kraken IPO in 2025?,106229668102716149832209250222340847662201251266419359322746795373714233470739,33007765079325382103458898680383691503895532108499178620460955049586020382226,0,1,HOLD,Pergerakan harga BTC 1m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,494516.53254
2026-07-28T10:14:04.474018+00:00,Kraken IPO by ___ ?,Kraken IPO in 2025?,106229668102716149832209250222340847662201251266419359322746795373714233470739,33007765079325382103458898680383691503895532108499178620460955049586020382226,0,1,HOLD,Pergerakan harga BTC 1m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,494516.53254
2026-07-28T10:15:12.579550+00:00,Kraken IPO by ___ ?,Kraken IPO in 2025?,106229668102716149832209250222340847662201251266419359322746795373714233470739,33007765079325382103458898680383691503895532108499178620460955049586020382226,0,1,HOLD,Pergerakan harga BTC 1m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,494516.53254
2026-07-28T10:16:19.716530+00:00,Kraken IPO by ___ ?,Kraken IPO in 2025?,106229668102716149832209250222340847662201251266419359322746795373714233470739,33007765079325382103458898680383691503895532108499178620460955049586020382226,0,1,HOLD,Pergerakan harga BTC 1m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,494516.53254
2026-07-28T10:17:27.285999+00:00,Kraken IPO by ___ ?,Kraken IPO in 2025?,106229668102716149832209250222340847662201251266419359322746795373714233470739,33007765079325382103458898680383691503895532108499178620460955049586020382226,0,1,HOLD,Pergerakan harga BTC 1m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,494516.53254
2026-07-28T10:18:42.140593+00:00,When will Bitcoin hit $150k?,Will Bitcoin hit $150k by September 30?,45438797913102633064383001106517686274645969710370719545649954176250131739243,3706912208194343773849417614386506880440846478227693664173634276917611780828,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,778900.335643
2026-07-28T10:18:42.140593+00:00,Will El Salvador hold $1b+ of BTC by...? ,Will El Salvador hold $1b+ of BTC by September 30? ,44075407248802593112000761548715290869618993325529391906672925971281257164804,95162234044828862445264496998069617619607572099366791216945791323625150164949,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,14323.659323
2026-07-28T10:19:50.102238+00:00,When will Bitcoin hit $150k?,Will Bitcoin hit $150k by September 30?,45438797913102633064383001106517686274645969710370719545649954176250131739243,3706912208194343773849417614386506880440846478227693664173634276917611780828,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,778900.335643
2026-07-28T10:19:50.102238+00:00,Will El Salvador hold $1b+ of BTC by...? ,Will El Salvador hold $1b+ of BTC by September 30? ,44075407248802593112000761548715290869618993325529391906672925971281257164804,95162234044828862445264496998069617619607572099366791216945791323625150164949,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,14323.659323
2026-07-28T10:21:00.029163+00:00,When will Bitcoin hit $150k?,Will Bitcoin hit $150k by September 30?,45438797913102633064383001106517686274645969710370719545649954176250131739243,3706912208194343773849417614386506880440846478227693664173634276917611780828,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,778900.335643
2026-07-28T10:21:00.029163+00:00,Will El Salvador hold $1b+ of BTC by...? ,Will El Salvador hold $1b+ of BTC by September 30? ,44075407248802593112000761548715290869618993325529391906672925971281257164804,95162234044828862445264496998069617619607572099366791216945791323625150164949,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,14323.659323
2026-07-28T10:22:09.522047+00:00,When will Bitcoin hit $150k?,Will Bitcoin hit $150k by September 30?,45438797913102633064383001106517686274645969710370719545649954176250131739243,3706912208194343773849417614386506880440846478227693664173634276917611780828,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,778900.335643
2026-07-28T10:22:09.522047+00:00,Will El Salvador hold $1b+ of BTC by...? ,Will El Salvador hold $1b+ of BTC by September 30? ,44075407248802593112000761548715290869618993325529391906672925971281257164804,95162234044828862445264496998069617619607572099366791216945791323625150164949,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,14323.659323
2026-07-28T10:23:18.264397+00:00,When will Bitcoin hit $150k?,Will Bitcoin hit $150k by September 30?,45438797913102633064383001106517686274645969710370719545649954176250131739243,3706912208194343773849417614386506880440846478227693664173634276917611780828,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,778900.335643
2026-07-28T10:23:18.264397+00:00,Will El Salvador hold $1b+ of BTC by...? ,Will El Salvador hold $1b+ of BTC by September 30? ,44075407248802593112000761548715290869618993325529391906672925971281257164804,95162234044828862445264496998069617619607572099366791216945791323625150164949,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,14323.659323
2026-07-28T10:24:26.572901+00:00,When will Bitcoin hit $150k?,Will Bitcoin hit $150k by September 30?,45438797913102633064383001106517686274645969710370719545649954176250131739243,3706912208194343773849417614386506880440846478227693664173634276917611780828,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,778900.335643
2026-07-28T10:24:26.572901+00:00,Will El Salvador hold $1b+ of BTC by...? ,Will El Salvador hold $1b+ of BTC by September 30? ,44075407248802593112000761548715290869618993325529391906672925971281257164804,95162234044828862445264496998069617619607572099366791216945791323625150164949,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,14323.659323
2026-07-28T10:24:48.392105+00:00,When will Bitcoin hit $150k?,Will Bitcoin hit $150k by September 30?,45438797913102633064383001106517686274645969710370719545649954176250131739243,3706912208194343773849417614386506880440846478227693664173634276917611780828,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,778900.335643
2026-07-28T10:24:48.392105+00:00,Will El Salvador hold $1b+ of BTC by...? ,Will El Salvador hold $1b+ of BTC by September 30? ,44075407248802593112000761548715290869618993325529391906672925971281257164804,95162234044828862445264496998069617619607572099366791216945791323625150164949,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,14323.659323
2026-07-28T10:25:54.891320+00:00,When will Bitcoin hit $150k?,Will Bitcoin hit $150k by September 30?,45438797913102633064383001106517686274645969710370719545649954176250131739243,3706912208194343773849417614386506880440846478227693664173634276917611780828,0,1,HOLD,Pergerakan harga BTC 5m konsolidasi datar di area equilibrium ($0.00/$1.00) tanpa konfirmasi tren dominan.,778900.335643
